n log_a5 sigma f_out logL
2.149700737170555431e+00 -1.105930986884144396e+01 9.095498879815640259e-02 1.800636735599555824e-02 -8.998979832403621913e+03
1.000851404537709044e+00 -9.793081486597154495e+00 1.027915589143759689e-01 5.119131776026165925e-02 -8.988577617109454877e+03
2.590294351467488099e+00 -1.227651415410071678e+01 1.069547115310243851e-01 4.115854479869473365e-02 -8.944820900916251048e+03
1.292778915023162556e+00 -1.101344309813216071e+01 6.254047555401072434e-02 3.978964825961942703e-02 -8.917374403931493362e+03
1.488682019058324757e+00 -9.261667255967250156e+00 1.675513896806019309e-01 5.048451860222406135e-02 -8.830899114489289786e+03
2.096544529170073279e+00 -1.289972735589785025e+01 6.268282353696721931e-02 8.399594436628503302e-02 -8.781261810196372608e+03
1.050773218458069369e+00 -1.235606774951838638e+01 6.733955952596273886e-02 8.234524853363882346e-02 -8.715678260537519236e+03
2.894777026247753682e+00 -1.128710618969227042e+01 8.103119903251743139e-02 3.523554675429947658e-02 -8.709612411658421479e+03
2.088250644365160280e+00 -8.798361775106705807e+00 1.795935869911988170e-01 9.365966645022649750e-03 -8.694126498113399066e+03
1.476289175889393235e+00 -1.209202818221087661e+01 5.518261059140716629e-02 9.188542315052905529e-02 -8.646201239109137532e+03
1.140051016684626717e+00 -1.294088394388486307e+01 1.179482740567947413e-01 4.657935755804161471e-02 -8.637338248111866051e+03
1.580576556436644076e+00 -1.205161888862744313e+01 9.773764563719683496e-02 5.762907750182734434e-02 -8.610954769198622671e+03
1.452414388402776702e+00 -1.089097846588859042e+01 5.675273395538485421e-02 4.136326235167292475e-02 -8.601786809301429457e+03
2.427382811760413261e+00 -8.034994379997856484e+00 2.466891434011442841e-01 7.375220033500938521e-02 -8.601191160072266939e+03
1.647614532220661232e+00 -1.153074726648114279e+01 1.023795949733534577e-01 4.332116894169688037e-02 -8.515568462139639450e+03
2.015597565174865657e+00 -8.701361909273980899e+00 2.040297815527876701e-01 3.743059220593823039e-02 -8.510836585790557365e+03
1.029668069072763537e+00 -1.203005558992778390e+01 1.150155610769046377e-01 5.005600043512395403e-02 -8.509411207953944540e+03
2.282519774835226389e+00 -1.059555643998451124e+01 5.491165369836197713e-02 2.125327676132143795e-02 -8.495210163999017823e+03
1.153791768951091923e+00 -9.932386425626249959e+00 1.184017360691901194e-01 1.435083830302674897e-03 -8.473442149209595300e+03
2.233341321236061106e+00 -1.172740749798612114e+01 6.159175935632783816e-02 7.884029150600746494e-02 -8.471191574885313457e+03
1.002549208311567241e+00 -1.191520904434462480e+01 1.359602394076593890e-01 3.598233351433068744e-02 -8.463046548554559195e+03
1.119251748293667248e+00 -1.220871735245134992e+01 5.861209449013909251e-02 9.797553293733801683e-02 -8.461746731667011773e+03
2.564846273889092920e+00 -8.745658525868687860e+00 9.259290256786685547e-02 4.703998408675097442e-02 -8.452134377833161125e+03
1.263255629131900593e+00 -1.235236587023740817e+01 9.751507026629635533e-02 6.754103066421369983e-02 -8.395122578874405008e+03
1.611099302614811046e+00 -1.136459440720542879e+01 1.588792452443592018e-01 9.118194111009004111e-04 -8.393283022667836121e+03
2.318812776797646524e+00 -8.544829096104802346e+00 1.728814137656127237e-01 4.556246524156760958e-02 -8.365502456887479639e+03
1.321216839620492189e+00 -1.287561429923977485e+01 7.109133614857705841e-02 9.334958402935762678e-02 -8.309235523555493273e+03
2.356050946649788536e+00 -1.241806636668453301e+01 1.622937602394152190e-01 2.060929272580990304e-02 -8.302792358395778137e+03
2.237857920203988549e+00 -1.127890698900193023e+01 6.370439457393206606e-02 6.657422121776393475e-02 -8.237313085655372561e+03
1.508995824392585394e+00 -9.292929790580684468e+00 1.207377070760901339e-01 9.694566493130982177e-02 -8.236974229308289068e+03
2.342866972729839237e+00 -1.165089806740021317e+01 1.489212509147173069e-01 1.300580673322292505e-02 -8.229309644856366504e+03
2.513710746551929276e+00 -8.481787548087538653e+00 1.369573959339631108e-01 7.896362482645068182e-02 -8.191514259474618484e+03
1.627462196600905520e+00 -8.921015066119460712e+00 2.469707679971366310e-01 8.180302472419154203e-02 -8.188328915026153481e+03
2.027405912513577491e+00 -8.946315512056557395e+00 1.411516759556740164e-01 4.451709986628010068e-02 -8.180350901239777158e+03
2.146976330347553308e+00 -8.546042418706731425e+00 2.206136687638158844e-01 3.147488199665402636e-02 -8.173754197640737402e+03
2.030853484077415949e+00 -1.138995316673025293e+01 8.503255456797283174e-02 5.708079125228296413e-02 -8.128877292264039170e+03
2.965413144850495453e+00 -1.280455939016461997e+01 1.452882035779320402e-01 3.662092892292369978e-02 -8.128140309245638491e+03
2.253541428181059736e+00 -1.170623698605529484e+01 1.129668746798065393e-01 4.553688165087699247e-02 -8.098710707948720483e+03
2.891834339042666180e+00 -1.152172065345384055e+01 1.032760963135159193e-01 3.975915791404488475e-02 -8.059537093475859365e+03
1.716321482945702526e+00 -1.268868444867717926e+01 1.187099038212768021e-01 6.184527882461026554e-02 -8.044236891960935282e+03
2.654665251276123961e+00 -1.193025690739739986e+01 1.158673956843615793e-01 4.787565137943459309e-02 -8.042474834536173148e+03
1.798739165610105939e+00 -1.240701101458854616e+01 1.283245214276989565e-01 5.328147411898144503e-02 -8.035111158829227861e+03
1.789979963978441280e+00 -1.281436111630071473e+01 9.555100191676596522e-02 8.173082605705157822e-02 -8.028509724288991492e+03
1.604942975167292341e+00 -1.203190344850727556e+01 1.183960752154340768e-01 5.901905234309824666e-02 -7.984975092280820718e+03
1.462648673167379343e+00 -1.102779920139987624e+01 9.840808533657752211e-02 2.332064304450556444e-02 -7.978862395573201866e+03
1.847408153185736701e+00 -1.289332482581455075e+01 1.355491165937934839e-01 5.100432172271262415e-02 -7.977176321535480383e+03
1.331192932511441107e+00 -9.623528065949116694e+00 1.353479254748916616e-01 1.948641084150151345e-02 -7.968570097841381539e+03
2.442954148965010397e+00 -8.350448461475405537e+00 1.844559153505798688e-01 7.809759829949326770e-02 -7.956668513413870642e+03
1.753580058518491080e+00 -1.103221747449942214e+01 6.570896393852339312e-02 6.066406153888990321e-02 -7.940847348931081797e+03
2.165778339790899842e+00 -1.272672221855128072e+01 1.398822571166261908e-01 4.851047491291940461e-02 -7.915027869064956576e+03
1.171168308692980720e+00 -1.262070102603544974e+01 8.376699522463695868e-02 9.691344409184284026e-02 -7.914992323641316943e+03
2.146614071443467608e+00 -8.824996012737154061e+00 1.561057020437645049e-01 3.842253363309997005e-02 -7.848392671216155577e+03
2.057628395573179780e+00 -8.960523003725732849e+00 1.170821523714728196e-01 8.037646512849125346e-02 -7.843095358394264622e+03
2.229438891790310961e+00 -8.890028593163689763e+00 9.192469576595824199e-02 9.912343404022810889e-02 -7.833289495638953667e+03
1.243417360652998349e+00 -1.135436640138690301e+01 9.488044861030263399e-02 6.102103952799541736e-02 -7.815940987293893158e+03
1.954662908575401481e+00 -1.133442845335111393e+01 5.519677380294292501e-02 9.418585645801633155e-02 -7.793669904174493240e+03
2.911176410350657218e+00 -1.277375145353868824e+01 1.407730076003562147e-01 4.947786550786675147e-02 -7.767334630089904749e+03
1.799762584451600533e+00 -1.129716361081528930e+01 1.276176882730225837e-01 2.290003532817094442e-02 -7.749550873430490356e+03
2.399106225433043527e+00 -8.192966914562383351e+00 2.477100986130115201e-01 4.822180210869778105e-02 -7.726788572732266402e+03
2.780261524844327425e+00 -8.481900315855948946e+00 9.991014667887015976e-02 8.974547951008621238e-02 -7.716409252004656082e+03
1.038844414834241725e+00 -1.001348271278190083e+01 1.022752833150423063e-01 1.130323667101853537e-02 -7.715683976892466490e+03
1.663341967715550540e+00 -1.261370061177479762e+01 1.150445273229383364e-01 7.656524560509551935e-02 -7.699738170216707658e+03
2.118682515574104919e+00 -1.249181465921697054e+01 1.509837578226462806e-01 4.476829349035948286e-02 -7.686712434373423093e+03
2.187394614421654282e+00 -9.096060027027174755e+00 5.633504072248956412e-02 9.739828368575828565e-02 -7.676224732084810967e+03
1.857495035059970823e+00 -1.290203744539785191e+01 1.844557483248915886e-01 2.031016172464702660e-02 -7.665416596675388064e+03
1.361379616473786136e+00 -1.255834461522925594e+01 1.076063761678291847e-01 8.515895861552082169e-02 -7.656380493005511198e+03
1.960498162552353651e+00 -8.743634891052618485e+00 2.149232353705047283e-01 6.186510270394245808e-02 -7.650513624822844577e+03
1.295441310805397706e+00 -1.127095145156468803e+01 1.638861001236004145e-01 5.744993063320214519e-05 -7.641905443208363067e+03
1.265789188335377791e+00 -1.281371413935309000e+01 1.211265822031279971e-01 7.425798834429965523e-02 -7.635822738345828839e+03
2.194954737787788268e+00 -1.217726052366942291e+01 1.237665591747629662e-01 6.411095396922442124e-02 -7.631736478458415149e+03
1.229882511166383141e+00 -1.155768382628142632e+01 1.101466510731735488e-01 6.534982209114546803e-02 -7.625453478802521204e+03
2.557215822479228073e+00 -1.252310491310986684e+01 1.358499510168826030e-01 5.770607916642561674e-02 -7.606996997396749066e+03
2.748923628469331248e+00 -8.829501333010881581e+00 6.665468571275741383e-02 5.387615228440018056e-02 -7.605820952726703581e+03
2.730374871437174278e+00 -1.217488395116945199e+01 1.698168866670540234e-01 2.158109037640242381e-02 -7.534827010891443933e+03
1.577467965271955652e+00 -1.156065798194946481e+01 1.002435166859550197e-01 7.623040443218724593e-02 -7.471126773618649167e+03
1.699880005064405841e+00 -9.061114761314277288e+00 2.148394042377325674e-01 3.341147944203705367e-02 -7.438439238325434417e+03
1.587777835823019679e+00 -1.267345484444776638e+01 1.400728736347135739e-01 6.485878929106418667e-02 -7.435047852968005827e+03
1.728036026989743679e+00 -1.196578831580670510e+01 2.111894338115138936e-01 7.442248994837808054e-06 -7.412776533706390182e+03
